source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref
2371508802858333824,13.32681037964443,-15.711473323718243,7.738023854083587,192.71815,539.10016,527.3139071953857,-112.11165629441014,15.920997,16.956825,14.911618,2.045207,0.0,1.0292522,PM J00532-1542,PM*,1
5018297856604334976,27.26342237700857,-33.15535668156195,7.823611280034621,50.86803,538.98944,525.6725119332784,-119.0714767878295,18.231703,19.800386,17.022509,2.7778778,0.4910142,1.0255876,APMPM J0149-3309,PM*,4
5147748995540060544,31.012621449134805,-15.895014347984,10.63867943861917,149.1853,538.9431,353.03135945248255,-407.2205104229751,17.035252,18.734686,15.795985,2.9387007,0.0,0.95842695,LP  769-33,PM*,9
2634911240469948544,344.9268060981521,-6.244498016032441,7.904522889888045,92.38864,538.78656,-185.3066574895171,-505.9174119777549,17.375595,18.812725,16.214945,2.5977802,0.0,0.9818658,LP  701-52,PM*,7
2619889785242222208,333.44838964703536,-6.455879808721667,10.14752609572409,384.6477,538.5062,356.595846886962,-403.51995665554944,14.063853,14.926062,13.152144,1.7739172,0.103187636,1.3348057,LP  699-59 B,PM*,2
2619889785241732736,333.4632878436975,-6.455373212860746,10.35032875281076,195.53586,538.4603,356.56379519028053,-403.4870415193225,14.949182,15.2865305,13.407489,1.8790417,0.2724311,1.2384418,LP  699-59 B,PM*,2
2619889785242221824,333.4635675145226,-6.455265009326801,10.304443915403445,209.5771,538.06476,356.25405841832475,-403.2328146535274,14.97282,15.317732,13.458146,1.8595858,0.22406554,1.059063,LP  699-59 B,PM*,2
2416601595779276544,2.0892547671348365,-15.197322967996469,19.345285856870092,805.51117,537.88293,298.265562088152,-447.6111242109904,14.193041,15.435138,13.087778,2.3473597,0.0,0.99278796,G 158-31,PM*,9
5089662556454774272,63.175874272215786,-22.842297962399048,28.42118032923376,966.3645,537.5495,-301.18979136459984,-445.24619834278354,14.966854,16.9378,13.653383,3.2844162,0.12365721,1.0851953,LP  833-54,PM*,7
3030614037431922304,115.98603984346336,-12.99850995204974,25.081329815152,1193.6732,537.1608,340.9976423753751,-415.0450282696058,14.315364,15.849067,13.111746,2.737321,0.068335295,1.1570892,2MASS J07435625-1259476,PM*,4
313906416497564288,17.951282978671955,32.85517124452035,6.675936167599795,190.25522,536.90967,364.01257396918766,-394.6730870166544,15.565658,16.463474,14.631853,1.8316212,0.0,1.0108494,G 132-61,PM*,7
